ARCLFWR1187B9AE7B2 <sep> Fun Lovin' Criminals <sep> 0.452768 <sep> New York, NY, US
ARBCT8N1187B99D145 <sep> Jumpsteady <sep> 0.364353 <sep> Detroit, MI, US
AR4LF541187FB37C6A <sep> Lordi <sep> 0.504863 <sep> Rovaniemi, Lapland, FI
ARTOJAQ1187B990DA0 <sep> Thunderstone <sep> 0.417879 <sep> Helsinki, Uusimaa, FI
AR68E071187FB3AF0E <sep> Green Jellÿ <sep> 0.388429 <sep> Beverly Hills, CA, US
ARRH2S81187B98C8AA <sep> Bongzilla <sep> 0.442851 <sep> Madison, WI, US
AR1LG7D1187B99BAFF <sep> weedeater <sep> 0.392408 <sep> Wilmington, NC, US
AR1D1ES1187FB57228 <sep> Augustus Pablo <sep> 0.428658 <sep> Saint Andrew, JM
ARL1MEI1187B9AD98B <sep> Streetlight Manifesto <sep> 0.493082 <sep> New Jersey, US
AR2W94J1187B9B5C2C <sep> Five Iron Frenzy <sep> 0.465077 <sep> Denver, CO, US
ARVXFEO1187B99BB25 <sep> Skankin' Pickle <sep> 0.385192 <sep> San Jose, CA, US
ARA1OQ51187B98D24B <sep> Dead Poetic <sep> 0.400589 <sep> Dayton, OH, US
ARNSUIG1187FB3ED85 <sep> Chakuza <sep> 0.431173 <sep> Linz, Upper Austria, AT
AR31RRX1187B9B5CAF <sep> B-Tight <sep> 0.358457 <sep> Palm Springs, CA, US
AR1WNHW1187B9B5C7A <sep> Bushido <sep> 0.511913 <sep> Bonn, North Rhine-Westphalia, DE
AR1ON8N1187B98FE42 <sep> Pur <sep> 0.460782 <sep> Bietigheim-Bissingen, Baden-Wurttemberg, DE
AR44TIX1187FB4CCC9 <sep> Tone <sep> 0.400822 <sep> Frankfurt, Hesse, DE
ARI6CSW1187B9AF09A <sep> Eko Fresh <sep> 0.525204 <sep> Cologne, North Rhine-Westphalia, DE
ARYSCGM1187B9AFD51 <sep> Herbert Grönemeyer <sep> 0.490921 <sep> Gotinga, Lower Saxony, DE
ARZSUQK1187B9977A6 <sep> Boz <sep> 0.370699 <sep> Somerville, MA, US
ARVY9JD1187B9B2B01 <sep> Sentino <sep> 0.413787 <sep> Germany
ARLZZQR1187B9ABFF7 <sep> Massiv <sep> 0.48109 <sep> Berlin, Berlin, DE
ARDSZAT1187FB4A4F4 <sep> Manuellsen <sep> 0.428839 <sep> Mulheim-on-Ruhr, North Rhine-Westphalia, DE
ARK5A181187B9A8C59 <sep> D-Bo <sep> 0.475998 <sep> Oklahoma, US
ARHC2H61187B9B5D61 <sep> Fler <sep> 0.462481 <sep> Berlin, Berlin, DE
AREEXFW12592CDB9A4 <sep> Kay One <sep> 0.47042 <sep> Philippines
ARRFZ9D1187B9B9FB9 <sep> King Orgasmus One <sep> 0.367808 <sep> Berlin, Berlin, DE
ARE5ODJ1187FB3D83C <sep> Laith Al-Deen <sep> 0.452885 <sep> Karlsruhe, Baden-Wurttemberg, DE
ARQQ2KJ1187FB448FA <sep> Juli <sep> 0.459068 <sep> Giessen, Hesse, DE
ARMJ3U21187B98DEEF <sep> Heinz Rudolf Kunze <sep> 0.362391 <sep> Mittwald, North Rhine-Westphalia, DE
ARFF8GC1187FB3AE11 <sep> Sportfreunde Stiller <sep> 0.490893 <sep> Munich, Bavaria, DE
ARM6GCF1187B9B2AB9 <sep> Klaus Lage <sep> 0.351023 <sep> Radford, VA, US
ARM1GVF1187FB4990E <sep> Annett Louisan <sep> 0.45547 <sep> Havelberg, Saxony-Anhalt, DE
ARMD6JB1187FB3B0E7 <sep> Die Fantastischen Vier <sep> 0.463534 <sep> Stuttgart, Baden-Wurttemberg, DE
ARTWJJP1187B98F662 <sep> Xavier Naidoo <sep> 0.462047 <sep> Mannheim, Baden-Wurttemberg, DE
ARB3EDX1187B9AD18F <sep> Fury in the Slaughterhouse <sep> 0.402322 <sep> Hanover, Lower Saxony, DE
AR679BF1187B9B1CA6 <sep> Rosenstolz <sep> 0.483086 <sep> Berlin, Berlin, DE
ARKQW4V1187B9AD20B <sep> Wir sind Helden <sep> 0.48155 <sep> Berlin, Berlin, DE
ARE9PF21187B9A65D1 <sep> Beatsteaks <sep> 0.466956 <sep> Berlin, Berlin, DE
ARBLCOE1187B98B4C8 <sep> Tocotronic <sep> 0.380814 <sep> Hamburg, Hamburg, DE
AR1XMED1187B995BD4 <sep> Virginia Jetzt! <sep> 0.428297 <sep> Elsterwerda, Brandenburg, DE
AREGDVM1187FB4FBCF <sep> Revolverheld <sep> 0.474371 <sep> Hamburg, Hamburg, DE
AR16MYF1187FB562C3 <sep> Die Toten Hosen <sep> 0.524734 <sep> Dusseldorf, North Rhine-Westphalia, DE
AR5S7DE1187FB43824 <sep> Die Ärzte <sep> 0.451098 <sep> Berlin, Berlin, DE
ARJU3AJ1187FB461DC <sep> Silbermond <sep> 0.482308 <sep> Bautzen, Saxony, DE
AR694KF1187B9AEB90 <sep> Kettcar <sep> 0.406494 <sep> Hamburg, Hamburg, DE
ARVHOJ81187FB36F03 <sep> WIZO <sep> 0.449361 <sep> Sindelfingen, Baden-Wurttemberg, DE
ARY9QTB1187FB46AE4 <sep> Böhse Onkelz <sep> 0.447523 <sep> Frankfurt, Hesse, DE
ARB1V8P1187B990510 <sep> Shades Apart <sep> 0.384445 <sep> Bridgewater, NJ, US
ARC7NJG1187FB5AC05 <sep> Donots <sep> 0.484204 <sep> Ibbenbüren, North Rhine-Westphalia, DE
ARE8UZM1187B99745C <sep> Pinhead Gunpowder <sep> 0.372912 <sep> East Bay, Albany, CA, US
ARP69UC1187B9ABF2C <sep> J.B.O. <sep> 0.44798 <sep> Erlangen, Bavaria, DE
AR3U4FK1187B9B225A <sep> Die Kassierer <sep> 0.435022 <sep> Bochum, North Rhine-Westphalia, DE
ARJ8Y1D1187FB4CC47 <sep> Autopilot Off <sep> 0.342536 <sep> Orange, NY, US
AREQGNM1187B996DD3 <sep> Schrottgrenze <sep> 0.42268 <sep> Germany
ARCBQRB1187FB52F88 <sep> Zebrahead <sep> 0.499343 <sep> Orange, CA, US
ARPKFHE1187B990CFE <sep> Terrorgruppe <sep> 0.434451 <sep> Berlin, Berlin, DE
ARGNOFQ1187B98E45E <sep> Muff Potter <sep> 0.410142 <sep> Muenster, North Rhine-Westphalia, DE
ARIINL31187FB46159 <sep> 4LYN <sep> 0.444898 <sep> Munich Germany
ARNDQQ41187B9AE635 <sep> Crazy Town <sep> 0.468888 <sep> Los Angeles, CA, US
ARNJVSL1187B99AFD4 <sep> 2raumwohnung <sep> 0.47195 <sep> Berlin, Berlin, DE
ARH8HCT1187B9AF0C5 <sep> Christina Stürmer <sep> 0.466527 <sep> Austria
AR54L2Y1187B9AE445 <sep> Ich + Ich <sep> 0.483412 <sep> Berlin, Berlin, DE
ARQJP041187B9B5093 <sep> Nena <sep> 0.472913 <sep> Hagen, North Rhine-Westphalia, DE
AR6QDZ91187B9A8111 <sep> Udo Lindenberg <sep> 0.453665 <sep> Germany
ARMIB0C1187B9B23B0 <sep> Cassandra Steen <sep> 0.471597 <sep> Ostfildern, Baden-Wurttemberg, DE
ARWO87S1187B99061D <sep> Silly <sep> 0.436066 <sep> Berlin, Berlin, DE
ARPWSLF1187B9AE1FC <sep> Söhne Mannheims <sep> 0.328832 <sep> Mannheim, Baden-Wurttemberg, DE
ARD2CRJ1187FB3FF1B <sep> LaFee <sep> 0.458023 <sep> Germany
ART519I11A348EF820 <sep> Thomas Godoj <sep> 0.443192 <sep> Recklinghausen, North Rhine-Westphalia, DE
ARLVB0I1187FB51F5B <sep> MIA. <sep> 0.489381 <sep> Berlin, Berlin, DE
AR5BV3Y1187B9B4786 <sep> The Sundays <sep> 0.457353 <sep> Manchester, England, GB
ARKKNHS1187B9A3B49 <sep> Mazzy Star <sep> 0.490811 <sep> Los Angeles, CA, US
ARP3RF91187FB38FCD <sep> Pale Saints <sep> 0.427952 <sep> Leeds, England, GB
ARB0KFE1187FB501E5 <sep> Haley Bonar <sep> 0.37667 <sep> Rapid City, SD, US
ARJEOGL1187B98E9D4 <sep> Klee <sep> 0.466262 <sep> Germany
ARHYAMG1187B9A43F1 <sep> Fotos <sep> 0.529073 <sep> Hamburg, Hamburg, DE
ARLZW4K1187B9B269C <sep> Jeans Team <sep> 0.41718 <sep> Berlin, Berlin, DE
AR7CE7R1187FB43103 <sep> Fettes Brot <sep> 0.491221 <sep> Hamburg, Hamburg, DE
AR8L79A1187FB3E3E0 <sep> Die Sterne <sep> 0.43802 <sep> Hamburg, Hamburg, DE
ARW7QZ01187B990813 <sep> Olli Schulz & der Hund Marie <sep> 0.449407 <sep> Berlin, Berlin, DE
ARVCLIL1187B9945C0 <sep> Anajo <sep> 0.440062 <sep> Augsburg, Bavaria, DE
ARPIJCP122BCFC9F4E <sep> Mikroboy <sep> 0.386669 <sep> Sarrebruck, Saarland, DE
ARG8L4I1187B99AE50 <sep> Hund am Strand <sep> 0.43363 <sep> Berlin, Berlin, DE
ARGBG2T1187B9B1670 <sep> Massive Töne <sep> 0.332472 <sep> Stuttgart, Baden-Wurttemberg, DE
ARJ4RYT1187B9A0FC7 <sep> Blumentopf <sep> 0.453674 <sep> Munich, Bavaria, DE
ARUBD311187FB5C502 <sep> Das Bo <sep> 0.462304 <sep> Hamburg, Hamburg, DE
AR2HSTW1187FB4B8F3 <sep> Freundeskreis <sep> 0.464157 <sep> Stuttgart, Baden-Wurttemberg, DE
ARJRYSJ1187B9B27C0 <sep> Crematory <sep> 0.483078 <sep> Westhofen, Rhineland-Palatinate, DE
AR98RBL1187FB464FE <sep> Dreadful Shadows <sep> 0.422027 <sep> Berlin, Berlin, DE
ARBPFJ91187FB3C069 <sep> Graveworm <sep> 0.462753 <sep> Brunico, Trentino-Alto Adige, IT
AR0V36F1187FB366B1 <sep> The Chieftains <sep> 0.534647 <sep> Dublin, Dublin, IE
ARAPU5E1187FB5CCCF <sep> Patrick Street <sep> 0.344453 <sep> Wichita Falls, TX, US
AR2XBPG1187B98FCBE <sep> Planxty <sep> 0.378621 <sep> Dublin, Dublin, IE
ARIT9Y51187FB364AE <sep> The Irish Rovers <sep> 0.410027 <sep> Toronto, Ontario, CA
ARK12E61187B9905DF <sep> Silly Wizard <sep> 0.369459 <sep> Edinburgh, Scotland, GB
ARVPJZA11F4C842DD7 <sep> The Clancy Brothers & Tommy Makem <sep> 0.340505 <sep> Ireland
AR2HFGH1187FB43D13 <sep> Boys of the Lough <sep> 0.368408 <sep> Ireland
ARKSLTQ11F4C842AF9 <sep> Clancy Brothers & Tommy Makem <sep> 0.421636 <sep> Ireland
ARW45K91187FB3DE04 <sep> Tommy Makem <sep> 0.311806 <sep> Keady, Northern Ireland, GB
ARL4AD91187FB56485 <sep> Wolfe Tones <sep> 0.422318 <sep> Ireland
AR1XUYS1187B9A44D7 <sep> Natalie MacMaster <sep> 0.428079 <sep> Canada
ARDIHQP1187FB3A7BA <sep> Horslips <sep> 0.436837 <sep> Dublin, Dublin, IE
ARGGUSE1187FB4BADC <sep> The Bothy Band <sep> 0.309118 <sep> Ireland
ARSXH7A1187FB3FF48 <sep> Gaelic Storm <sep> 0.46 <sep> Santa Monica, CA, US
ARIWQ3Q1187FB3F6D6 <sep> Christy Moore <sep> 0.418937 <sep> Portland, ME, US
ARNCOPS1187FB5A086 <sep> Dolores Keane <sep> 0.34046 <sep> Galway, IE
ARA1LS81187B9B98FB <sep> Martin Carthy <sep> 0.335084 <sep> London, England, GB
AR91GW21187FB4F642 <sep> Roger Miller <sep> 0.429626 <sep> Fort Worth, TX, US
ARQXAUH1187B9BA010 <sep> Bobbie Gentry <sep> 0.431833 <sep> Chickasaw, MS, US
ARHEJW21187FB3BA6E <sep> Jimmy Webb <sep> 0.452664 <sep> Elk City, OK, US
AROESNX1187B9998EA <sep> Sarantis <sep> 0.305093 <sep> United Kingdom
ARJLNH91187FB5C27F <sep> Bag Raiders <sep> 0.483159 <sep> Sydney, New South Wales, AU
ARIZRBZ125FEF32A5A <sep> Silver Columns <sep> 0.381326 <sep> United Kingdom
ARUFLPD12C1DF52133 <sep> Art vs Science <sep> 0.449543 <sep> Sydney, New South Wales, AU
ARVFFGL11E8F5C0F3B <sep> French Horn Rebellion <sep> 0.3935 <sep> Milwaukee, WI, US
ARKPFWK1187FB431AB <sep> Little Red <sep> 0.439646 <sep> Melbourne, Victoria, AU
ARQXLLW12086C122A9 <sep> Hungry Kids of Hungary <sep> 0.464603 <sep> Brisbane, Queensland, AU
ARWIKNK129CDD176DE <sep> Boy & Bear <sep> 0.49855 <sep> Sydney, New South Wales, AU
ARTUHE91187FB421DA <sep> Angus & Julia Stone <sep> 0.644568 <sep> Sydney, New South Wales, AU
ARBDKOI12086C14B65 <sep> First Aid Kit <sep> 0.488316 <sep> Sweden
ARU8Y0K11C8A415E5D <sep> Lisa Mitchell <sep> 0.437205 <sep> Albury, New South Wales, AU
ARTAIJP11E2835D345 <sep> The Middle East <sep> 0.503591 <sep> Townsville, Queensland, AU
AR9JCVT119B3402DD3 <sep> Whitley <sep> 0.439201 <sep> Melbourne, Victoria, AU
ARTZEBI12298900675 <sep> Lady of the Sunshine <sep> 0.419803 <sep> Sydney, New South Wales, AU
ARZOWYK1187B9AEFB9 <sep> Holly Throsby <sep> 0.344288 <sep> Sydney, New South Wales, AU
ARPUKXE1257509EA7E <sep> Isbells <sep> 0.448881 <sep> Leuven, Vlaams Brabant, BE
ARS4WS71187FB3F6AB <sep> Emmy the Great <sep> 0.467479 <sep> London, England, GB
ARMEDTP11C8A422409 <sep> Slow Club <sep> 0.487243 <sep> Sheffield, England, GB
ARNBUEA12086C172A9 <sep> The Leisure Society <sep> 0.432054 <sep> London, England, GB
ARZGUC81187FB4D4FC <sep> Tiny Dancers <sep> 0.383664 <sep> South Elmsall, England, GB
AR7H65U1187FB3FA23 <sep> Monkey Swallows the Universe <sep> 0.349401 <sep> Sheffield, England, GB
AR3Q2FQ1187FB5CAFE <sep> Holy Ghost! <sep> 0.461569 <sep> Brooklyn, New York, NY, US
ARNRNHY11E8C26B16A <sep> Hey Champ <sep> 0.458917 <sep> Chicago, IL, US
ARHBNEK1187FB3846A <sep> Fred Falke <sep> 0.428802 <sep> France
ARZKAVH11F50C4A5E5 <sep> Bumblebeez <sep> 0.431453 <sep> Australia
AR695PK1187B996E35 <sep> Jeremy Spencer <sep> 0.430159 <sep> Hartlepool, England, GB
ARYCP7D1187B99516B <sep> Pat Travers <sep> 0.399067 <sep> Toronto, Ontario, CA
AR5MX2X1187FB3874F <sep> Tommy Bolin <sep> 0.414826 <sep> Sioux City, IA, US
AREEAVN1187FB5BC58 <sep> The Feeling <sep> 0.380815 <sep> Horsham, PA, US
ARN2DSJ1187B9A3CD5 <sep> The Hoosiers <sep> 0.480001 <sep> London, England, GB
ARAN4V91187FB5B3B6 <sep> One Night Only <sep> 0.485319 <sep> Helmsley, England, GB
AR79GT01187FB5CC51 <sep> hurts <sep> 0.529157 <sep> Manchester, England, GB
ARD2G6S1187B9A398C <sep> Siva <sep> 0.346654 <sep> Ontario, CA
AR2QM3711C8A42BAAF <sep> Nega <sep> 0.423212 <sep> Geneva, Canton of Geneva, CH
AR640081187B99D47D <sep> lynch. <sep> 0.457548 <sep> Nagoya-shi,Japan
AR4KX9N1187B9B4C85 <sep> Phantasmagoria <sep> 0.441002 <sep> Osaka-shi, Osaka Prefecture, JP
ARSTUWR122BCFCC4AA <sep> Moran <sep> 0.411358 <sep> Montreal, Quebec, CA
ARILIE81187B9B751E <sep> 12012 <sep> 0.440263 <sep> Osaka-shi, Osaka Prefecture, JP
ARJLG2X1187FB4A52A <sep> SCREW <sep> 0.420393 <sep> Japan
ARSK2PK1187FB53C52 <sep> Skull <sep> 0.41999 <sep> Seoul, Seoul, KR
ARR752K1187FB52192 <sep> Sadie <sep> 0.441747 <sep> Osaka-shi, Osaka Prefecture, JP
ARLIZSB122ECCBB859 <sep> Suicide Ali <sep> 0.464671 <sep> Osaka-shi, Osaka Prefecture, JP
AR8U8G41187B9A833B <sep> Tim Exile <sep> 0.382146 <sep> United Kingdom
ARIQ0R41187B9B17AE <sep> Machine Drum <sep> 0.38877 <sep> Florida, US
ARV8SXA1187B9A4D28 <sep> Dam-Funk <sep> 0.456919 <sep> Los Angeles, CA, US
ARGOO641187B9AFC79 <sep> Jamie Lidell <sep> 0.436032 <sep> New York, NY, US
AR6F3811187B9B20FB <sep> Two Lone Swordsmen <sep> 0.406325 <sep> London, England, GB
ARW81LA1187B9AFA8D <sep> Richard Devine <sep> 0.333211 <sep> Atlanta, GA, US
ARORSBT11F50C4A96B <sep> De La Ghetto <sep> 0.483381 <sep> San Juan, San Juan, PR
ARQWCDG1187B9967A1 <sep> Tempo <sep> 0.390133 <sep> Ponce, Ponce, PR
ARVL3UO1187B997BED <sep> Cosculluela <sep> 0.457639 <sep> Palmas, Guayama, PR
ARUQQ0X1187B9A08E0 <sep> Yaga y Mackie <sep> 0.350802 <sep> Puerto Rico
ARHD9HG1187FB50402 <sep> Triumph <sep> 0.465781 <sep> Mississauga, Ontario, CA
ARXAKQ21187B990F7D <sep> Triumvirat <sep> 0.373134 <sep> Cologne, North Rhine-Westphalia, DE
AR0WS7L1187FB39159 <sep> Arena <sep> 0.466975 <sep> United Kingdom
ARSKIRZ1187FB53B90 <sep> Pendragon <sep> 0.452043 <sep> Stroud, England, GB
ARTSA6B1187B9AC1A4 <sep> Poni Hoax <sep> 0.424126 <sep> Paris, Ile-de-France, FR
AR3KGW11187FB5C1A7 <sep> Brodinski <sep> 0.476141 <sep> Lille, Nord-Pas-de-Calais, FR
ARH8V1M1187B9B3DB2 <sep> Jeff Loomis <sep> 0.490465 <sep> Menasha, WI, US
ARSIQ0U119B8668CEE <sep> TesseracT <sep> 0.516757 <sep> Reading, England, GB
ARVTBFP1187B9AC2F6 <sep> Cynic <sep> 0.442013 <sep> Miami, FL, US
ARGO4RN1187B9B0BDA <sep> Periphery <sep> 0.450708 <sep> Bethesda, MD, US
ARVIV8F11C8A4210EC <sep> Fellsilent <sep> 0.4446 <sep> Milton Keynes, England, GB
ARCC3B51187FB59171 <sep> SikTh <sep> 0.451826 <sep> Watford, England, GB
AR2BG1S1187FB52489 <sep> Mistaken Element <sep> 0.338909 <sep> France
ARHPSPS11F50C4FF34 <sep> Last Chance To Reason <sep> 0.451118 <sep> Augusta, ME, US
ARAVLWJ1187FB4DF39 <sep> Benea Reach <sep> 0.394805 <sep> Oslo, Oslo Fylke, NO
ARUA0SY1187FB59CA3 <sep> Enemy of the Sun <sep> 0.387687 <sep> Dortmund, North Rhine-Westphalia, DE
ARE4O1I1187B9ACFB9 <sep> Kiko Loureiro <sep> 0.475649 <sep> Rio de Janeiro, Rio de Janeiro, BR
AR6EVY61187B9AEEF7 <sep> Spiral Architect <sep> 0.377024 <sep> Oslo, Oslo Fylke, NO
ARV79SB1187B9AB471 <sep> Hacride <sep> 0.322275 <sep> Poitiers,France
AR7MGZV1187FB3A9D3 <sep> Cronian <sep> 0.320234 <sep> Norway
ARFM0TP1187B9A0745 <sep> Delta Goodrem <sep> 0.502107 <sep> Sydney, New South Wales, AU
ARMHQZE1187B99A822 <sep> Toby Lightman <sep> 0.389208 <sep> Cherry Hill, NJ, US
ARV3Z2I1187FB3E0BF <sep> Nerina Pallot <sep> 0.47437 <sep> London, England, GB
AROTL231187FB40491 <sep> Amy Studt <sep> 0.433935 <sep> Bournemouth, England, GB
ARCRS2O1187B99012F <sep> Holly Valance <sep> 0.372264 <sep> Melbourne, Victoria, AU
ARXETVW1187B9954A6 <sep> Stephanie McIntosh <sep> 0.363331 <sep> Australia
ARABVXG1187FB576A9 <sep> Vanessa Amorosi <sep> 0.468325 <sep> Melbourne, Victoria, AU
AR1UBAL1187FB4A2DF <sep> Shannon Noll <sep> 0.426043 <sep> Sydney, New South Wales, AU
ARJIK321187FB4A34E <sep> Guy Sebastian <sep> 0.506212 <sep> Sydney, New South Wales, AU
AR2LMZ81187B98DC47 <sep> Damien Leith <sep> 0.38608 <sep> Dublin, Dublin, IE
ARXZLDQ1187FB5B948 <sep> Anthony Callea <sep> 0.324896 <sep> Melbourne, Victoria, AU
ARADJIW11E2835CD24 <sep> Jessica Mauboy <sep> 0.476844 <sep> Australia
ARUGKMM11E2835D2F3 <sep> Ricki-Lee <sep> 0.501945 <sep> Sydney, New South Wales, AU
AR1FORD1187B9A23B3 <sep> Human Nature <sep> 0.386118 <sep> Sydney, New South Wales, AU
ARQT13B1187B9A5F9E <sep> Amy Pearson <sep> 0.401854 <sep> Birmingham, England, GB
AR0W3DM1187FB58F73 <sep> Young Divas <sep> 0.300507 <sep> South Auckland, NZ
ARNPGAD11E2835CA83 <sep> Paulini <sep> 0.380185 <sep> Sydney, New South Wales, AU
AR15KW01187FB53510 <sep> Slinkee Minx <sep> 0.317403 <sep> Melbourne, Victoria, AU
ARG6I7A1187B9A6047 <sep> Tina Cousins <sep> 0.370587 <sep> Leigh-on-Sea, England, GB
ARK0INS1187B9AB44F <sep> Kate Ceberano <sep> 0.366226 <sep> Melbourne, Victoria, AU
AR8GC9N1187FB3C296 <sep> Killing Heidi <sep> 0.376632 <sep> Violet Town, Victoria, AU
ARJAIIC12086C12B34 <sep> Ysa Ferrer <sep> 0.337436 <sep> Oran Rp, Oran, DZ
ARR6PDP1187B99B6CD <sep> The Delfonics <sep> 0.459443 <sep> Philadelphia, PA, US
AR4AOW51187FB3F248 <sep> Jermaine Jackson <sep> 0.448549 <sep> Sherman Oaks, Los Angeles, CA, US
ARSBVD41187FB5C0B9 <sep> Howard Hewett <sep> 0.440452 <sep> Akron, OH, US
AR286CH1187B9B8441 <sep> James Ingram <sep> 0.480463 <sep> Los Angeles, CA, US
AR1AOJB1187B9AD286 <sep> Rebbie Jackson <sep> 0.369002 <sep> Las Vegas, NV, US
ARQ6GS11187FB5CDBD <sep> Peabo Bryson <sep> 0.429782 <sep> Greenville, SC, US
ARWMFZH11C8A4219E0 <sep> For Today <sep> 0.504289 <sep> Sioux City, IA, US
AR32M5L1187B98ADA1 <sep> Belay My Last <sep> 0.37542 <sep> Fullerton, CA, US
ARNE5MJ11C8A421ACB <sep> Sleeping Giant <sep> 0.444681 <sep> Redlands, CA, US
ARLXUZN12086C11C63 <sep> Corpus Christi <sep> 0.359141 <sep> Cincinnati, OH, US
ARE8UDO1187FB57448 <sep> A Plea for Purging <sep> 0.439521 <sep> Tennessee, US
AR2HXGL1187FB443E4 <sep> Dead Man in Reno <sep> 0.338523 <sep> Tuscaloosa, AL, US
ARBVEVV122988FC72E <sep> Within the Ruins <sep> 0.426996 <sep> Westfield, MA, US
ARJ1BWM1187B9B117B <sep> Embrace the End <sep> 0.328129 <sep> Sacramento, CA, US
ARP2SG11187FB5A81B <sep> Once Nothing <sep> 0.392533 <sep> Pittsburgh, PA, US
ARAPV7M1187FB4715D <sep> :wumpscut: <sep> 0.453368 <sep> Germany
AR4YEJU1187B991468 <sep> Wolfsheim <sep> 0.352759 <sep> Hamburg, Hamburg, DE
AR0XAVE1187FB3C16B <sep> Hocico <sep> 0.487786 <sep> Mexico City, Distrito Federal, MX
ARPQJ561187FB5CEEE <sep> QNTAL <sep> 0.397881 <sep> Germany
ARY9AGF1187FB38555 <sep> In Strict Confidence <sep> 0.453622 <sep> Germany
ARSVS5M1187FB48D33 <sep> Seelenkrank <sep> 0.362675 <sep> Belgrade, Beograd, RS
ARCZBX11187B9AD089 <sep> Suicide Commando <sep> 0.477469 <sep> Belgium
ARQCL0E1187FB38365 <sep> Tactical Sekt <sep> 0.398712 <sep> Germany
AR71EWN1187B9BA18C <sep> Amduscia <sep> 0.451491 <sep> Mexico City, Distrito Federal, MX
ARWIZZ61187FB3C602 <sep> Grendel <sep> 0.480855 <sep> Netherlands
AR8URAF1187B9B94B8 <sep> God Module <sep> 0.459303 <sep> Seattle, WA, US
ARXJ81T1187B9ADC0F <sep> Velvet Acid Christ <sep> 0.436261 <sep> Denver, CO, US
ARA1VFN1187B9B50FB <sep> Dulce Liquido <sep> 0.356859 <sep> Mexico
AR9S61A1187B9ADE80 <sep> Psyclon Nine <sep> 0.466517 <sep> Castro Valley, CA, US
ARPVGD81187FB4BD3D <sep> Unter Null <sep> 0.447534 <sep> United States
ARDZ1IN1187FB42309 <sep> Heimataerde <sep> 0.439815 <sep> Germany
ARV45GF1187B9ADFF0 <sep> Agonoize <sep> 0.457537 <sep> Berlin, Berlin, DE
ARZM53A1187B9A1AE7 <sep> Panzer AG <sep> 0.442314 <sep> Norway
ARNPM5Y1187FB3B8C8 <sep> Dawn of Ashes <sep> 0.463213 <sep> Los Angeles, CA, US
ARP5NVP1187B9AC61E <sep> The Retrosic <sep> 0.433312 <sep> Germany
ARA8ZZB1187FB40872 <sep> toe <sep> 0.459447 <sep> Japan
ARFTVKG1187B9A4F3B <sep> This Town Needs Guns <sep> 0.454653 <sep> Oxford, England, GB
ARNV01N1187B9A8547 <sep> Sharks Keep Moving <sep> 0.396916 <sep> Seattle, WA, US
ARL2QZU1187B9AB70F <sep> Motionless <sep> 0.454413 <sep> Boston, MA, US
AR9SWNW1187FB5934B <sep> Imperanon <sep> 0.402964 <sep> Helsinki, Uusimaa, FI
ARGJLIC1187B9B6CDB <sep> Mors Principium Est <sep> 0.489489 <sep> Pori, Satakunta, FI
ARE6J0C1187B9991A3 <sep> Omnium Gatherum <sep> 0.463122 <sep> Karhula, Kymenlaakso, FI
ARPHEIR1187B9B1A3A <sep> Skyfire <sep> 0.432032 <sep> Höör, Skane, SE
AR31N6I1187FB4D7F9 <sep> Beachwood Sparks <sep> 0.455397 <sep> Los Angeles, CA, US
ARIIFAI1187B9B101B <sep> The Shaky Hands <sep> 0.410099 <sep> Portland, OR, US
ARHHOPP1187FB4FAD5 <sep> Port O'Brien <sep> 0.426334 <sep> California, US
ARHAA9R1187FB38BB1 <sep> Robbers on High Street <sep> 0.419303 <sep> Brooklyn, New York, NY, US
ARQ0JUJ1187FB47EA1 <sep> Max B <sep> 0.466635 <sep> Harlem, New York, NY, US
ARYV5BU1187B9A1CF3 <sep> Stack Bundles <sep> 0.460896 <sep> Far Rockaway, New York, NY, US
ARI0PUX1187FB3F215 <sep> Maxi Priest <sep> 0.4629 <sep> Lewisham, London, England, GB
AR85JT01187FB3DB98 <sep> Boris Gardiner <sep> 0.376359 <sep> Kingston, Saint Andrew, JM
ARS8QU51187FB4310A <sep> Johnny Kidd & The Pirates <sep> 0.380355 <sep> London, England, GB
AR7J5811187FB42961 <sep> Rachael Cantu <sep> 0.443141 <sep> California, US
ARRHNIJ12086C1147F <sep> An Horse <sep> 0.481302 <sep> Brisbane, Queensland, AU
ARQ6VWD1187B9975AA <sep> Kaki King <sep> 0.455873 <sep> Atlanta, GA, US
AR2SEA81187B991F3F <sep> Iron On <sep> 0.341257 <sep> Brisbane, Queensland, AU
ARTUA3B1187FB4DA3B <sep> Uh Huh Her <sep> 0.451099 <sep> Los Angeles, CA, US
ARRELR71187B9A8F8E <sep> Land of Talk <sep> 0.481279 <sep> Montreal, Quebec, CA
ARWV4ZQ1187FB4A44F <sep> Throwing Muses <sep> 0.420409 <sep> Newport, RI, US
AR0JO1U1187B995FF9 <sep> Steel Train <sep> 0.447087 <sep> New Jersey, US
ARGFFF91187FB4FA62 <sep> Northern State <sep> 0.422286 <sep> Long Island, NY, US
ARX07G11187B9AC915 <sep> Giant Drag <sep> 0.343724 <sep> Los Angeles, CA, US
ARRPEWH11EB9C82511 <sep> LoveLikeFire <sep> 0.382211 <sep> San Francisco, CA, US
ARU95DC1187FB4C866 <sep> Pretty Girls Make Graves <sep> 0.447774 <sep> Seattle, WA, US
AR43IDV1187FB4691A <sep> Born Ruffians <sep> 0.502351 <sep> Midland, Ontario, CA
