ARP12VB1187B9A7159 <sep> Global Deejays <sep> 0.468271 <sep> Austria
ARN5RBL1187FB5A2F5 <sep> Alex Gaudino <sep> 0.446555 <sep> Milan, Lombardy, IT
ARF8HTQ1187B9AE693 <sep> Daft Punk <sep> 0.702723 <sep> Paris, Ile-de-France, FR
AR0DPJW1187B9AF9B6 <sep> Joachim Garraud <sep> 0.434446 <sep> France
ARU4IGR1187B9A8062 <sep> Rich Boy <sep> 0.495979 <sep> Mobile, AL, US
AR7Q0O91187FB4DBE7 <sep> Plies <sep> 0.474426 <sep> Fort Myers, FL, US
ARMYONR1187FB58236 <sep> DJ Drama <sep> 0.505316 <sep> Toledo, OH, US
AR2EDEM1187FB573B1 <sep> Royce da 5'9" <sep> 0.468454 <sep> Detroit, MI, US
ARGJFIQ11EBCD789D1 <sep> U-N-I <sep> 0.406146 <sep> Inglewood, CA, US
AR10KZ91187FB43B99 <sep> Young Buck <sep> 0.470985 <sep> Nashville, TN, US
AR8QWS71187B9A7BD5 <sep> Mika <sep> 0.542004 <sep> London, England, GB
ARJA1841187FB3A029 <sep> David Bowie <sep> 0.65837 <sep> Brixton, London, England, GB
ARXF3K21187FB39749 <sep> Junior Senior <sep> 0.412224 <sep> Denmark
AR6LKUT1187FB57287 <sep> Bee Gees <sep> 0.711088 <sep> Redcliffe, Brisbane, Queensland, AU
ARA60941187B9AD4A3 <sep> Pet Shop Boys <sep> 0.514374 <sep> London, England, GB
ARDGES11187B9B7DDF <sep> Roxy Music <sep> 0.461973 <sep> London, England, GB
AR9Z2O31187B9B49F9 <sep> Fischerspooner <sep> 0.485948 <sep> New York, NY, US
ARENMIP1187FB5638D <sep> Robbie Williams <sep> 0.502804 <sep> Stoke-on-Trent, England, GB
ARAKARO1187B9A1EB6 <sep> George Michael <sep> 0.475676 <sep> East Finchley, London, England, GB
AR7C6G11187B9B4C1E <sep> Jennifer Lopez <sep> 0.793384 <sep> Bronx, New York, NY, US
ARWS1TU1187B9B2560 <sep> Hilary Duff <sep> 0.527732 <sep> Texas, US
AR3JMC51187B9AE49D <sep> Backstreet Boys <sep> 0.632475 <sep> Santa Maria, CA, US
ARBZIN01187FB362CC <sep> Paris Hilton <sep> 0.454613 <sep> New York, NY, US
ARUBDKR1187FB3FC29 <sep> Lindsay Lohan <sep> 0.402647 <sep> New York, NY, US
ARN7POH1187B9B301E <sep> Jessica Simpson <sep> 0.517729 <sep> Abilene, TX, US
AR7VWZ11187B98DA42 <sep> Spice Girls <sep> 0.490061 <sep> Maidenhead, England, GB
ARHFCP01187B994361 <sep> *NSync <sep> 0.497187 <sep> Orlando, FL, US
AR6VHEC1187FB5AC0D <sep> Thalia <sep> 0.551228 <sep> Mexico City, Distrito Federal, MX
ARZ33PH1187FB52F58 <sep> Kat DeLuna <sep> 0.461872 <sep> Bronx, New York, NY, US
AR6PJ8R1187FB5AD70 <sep> Shakira <sep> 0.763772 <sep> Barranquilla, Atlantico, CO
ARAEX7Y1187FB42D36 <sep> Toni Braxton <sep> 0.525211 <sep> Severn, MD, US
AR2FSX31187B98E3EF <sep> Ricky Martin <sep> 0.529831 <sep> San Juan, San Juan, PR
ARRCBW21187B9B6183 <sep> Jon Secada <sep> 0.462967 <sep> Prince Albert, Saskatchewan, CA
AR1TIS71187FB37160 <sep> Gloria Estefan <sep> 0.485408 <sep> Miami, FL, US
ARW23ZV1187FB558A3 <sep> Paulina Rubio <sep> 0.597282 <sep> Mexico City, Distrito Federal, MX
ARDCFNZ1187FB3DDB0 <sep> Enrique Iglesias <sep> 0.702899 <sep> Madrid, Madrid, ES
AROF4LP1187FB41C51 <sep> Selena <sep> 0.491003 <sep> Lake Jackson, TX, US
ARBHW3X1187B999013 <sep> La Oreja de Van Gogh <sep> 0.506962 <sep> Spain
ARLAWDD1187FB48367 <sep> Carlos Vives <sep> 0.453754 <sep> Bogota, Distrito Especial, CO
ARSB75R1187B98FB22 <sep> Laura Pausini <sep> 0.532707 <sep> Italy
ARF9XIH1187FB5839F <sep> Belinda <sep> 0.516666 <sep> Madrid, Madrid, ES
ARBFAWR1187FB3DD1E <sep> Alejandra Guzmán <sep> 0.49383 <sep> Mexico City, Distrito Federal, MX
ARNDL191187FB51583 <sep> Jimi Hendrix <sep> 0.532664 <sep> Seattle, WA, US
ARXPE8V1187B99AEC9 <sep> Deep Purple <sep> 0.658312 <sep> Hertfordshire, England, GB
AR12F2S1187FB56EEF <sep> Aerosmith <sep> 0.693249 <sep> Boston, MA, US
ARWR05M1187B9951A2 <sep> AC/DC <sep> 0.733645 <sep> Sydney, New South Wales, AU
ARZHSES1187FB58AAC <sep> Cream <sep> 0.49765 <sep> London, England, GB
ARWZ9W91187B9B2B29 <sep> Black Sabbath <sep> 0.716597 <sep> Birmingham, England, GB
ARFCUN31187B9AD578 <sep> The Rolling Stones <sep> 0.703688 <sep> London, England, GB
ARWX5TK1187FB4CDBE <sep> The Who <sep> 0.624765 <sep> London, England, GB
ARHI20L1187FB4C997 <sep> Jeff Beck <sep> 0.504823 <sep> Wallington, London, England, GB
AR1ABAO1187FB531E1 <sep> Alice Cooper <sep> 0.585172 <sep> Detroit, MI, US
ARL4TII1187B9B46E1 <sep> Queen <sep> 0.741446 <sep> London, England, GB
ARASYMJ1187B9ACAF2 <sep> Whitesnake <sep> 0.661123 <sep> Middlesbrough, England, GB
ARR3GSP1187B9AD4C4 <sep> Def Leppard <sep> 0.532857 <sep> Sheffield, England, GB
AROGBIV1187B9B0FCE <sep> Boston <sep> 0.459158 <sep> Boston, MA, US
ARDIBRT1187B9AF176 <sep> Led Zeppelin <sep> 0.733273 <sep> London, England, GB
ARTB3OO1187FB49BDA <sep> Elton John <sep> 0.53324 <sep> Pinner, London, England, GB
ARPNILO1187B9B59BB <sep> Journey <sep> 0.563879 <sep> San Francisco, CA, US
AREMEW61187B9B62DD <sep> Cheap Trick <sep> 0.503899 <sep> Rockford, IL, US
AR8DTVF1187B9AA292 <sep> Ozzy Osbourne <sep> 0.645662 <sep> Aston, Birmingham, England, GB
AR6XZ861187FB4CECD <sep> The Beatles <sep> 0.728742 <sep> Liverpool, England, GB
ARIVNY21187B98C78A <sep> Great White <sep> 0.493302 <sep> Los Angeles, CA, US
